name,name_hebrew,db_id,type,lat,lon,year_established,district,municipality,category,nearest_settlement
Yeshuv Hada't,ישוב הדעת - הבית האדום,251.0,Outpost,32.045896,35.340477,2001,Ramallah,Binyamin,Outpost,Shilo
Shaked Farm,חוות שקד,331.0,Outpost,32.162677,35.240127,2002,Nablus,Shomron,Outpost,Yizhar
Kochav Ya'akov West,כוכב יעקב מערב,270.0,Outpost,31.883295,35.233486,2002,Jerusalem,Binyamin,Outpost,Kochav Ya'akov
Karmei Doron,כרמי דורון,272.0,Outpost,32.289348,35.128296,2002,Tul Karem,Shomron,Outpost,Enav
Ma'ale Rehav'am,מעלה רחבעם,284.0,Outpost,31.648737,35.257522,2002,Bethlehem,Gush Etzion,Outpost,Kfar Eldad (Old Nokdim)
Mitzpe Lachish,מצפה לכיש - גבעת הבוסטר,293.0,Outpost,31.496257,34.970185,2002,Hebron,Har Hebron,Outpost,Negohot
Granit Hill Alt. 468,גבעת גרניט נ.ג. 468,328.0,Outpost,31.819604,35.314288,2002,Jerusalem,Binyamin,Outpost,Nofei Prat
Asa'el,עשהאל,309.0,Outpost,31.373761,35.042343,2002,Hebron,Har Hebron,Outpost,Shimaa
Ramat Gilad,רמת גלעד,315.0,Outpost,32.179405,35.112789,2002,Qalqiliya,Karnei Shomron,Outpost,Karnei Shomron
Tko'a D,תקוע ד,319.0,Outpost,31.636487,35.238074,2002,Bethlehem,Gush Etzion,Outpost,Tqoa
Ancient Susiya Synagogue,"ביהכנ""ס העתיק סוסיא",230.0,Outpost,31.406605,35.10361,2002,Hebron,Har Hebron,Outpost,Susiya
Bat Ayin West,בת עין מערב,236.0,Outpost,31.6611,35.092086,2002,Bethlehem,Gush Etzion,Outpost,Bat Ayin
Hakaron,הקרון,256.0,Outpost,32.069676,35.279588,2002,Nablus,Binyamin,Outpost,Eli
Haroeh,הרואה,258.0,Outpost,32.054337,35.261874,2002,Nablus,Binyamin,Outpost,Eli
Gilad Farm,חוות גלעד,260.0,Outpost,32.200076,35.180199,2002,Qalqiliya,Shomron,Outpost,Kedumim
Gal Outpost,מאחז גל,350.0,Outpost,31.523303,35.125701,2002,Hebron,Har Hebron,Outpost,Kiryat Arba
Sde Boaz,שדה בועז,298.0,Outpost,31.693627,35.146809,2002,Bethlehem,Gush Etzion,Outpost,Neve Daniel
Mizpe Yitzhar,מצפה יצהר,290.0,Outpost,32.156069,35.248983,2002,Nablus,Shomron,Outpost,Yizhar
Givat Assaf,גבעת אסף,244.0,Outpost,31.911278,35.247228,2002,Ramallah,Beit El,Outpost,Beit El
Kida,קידה,313.0,Outpost,32.048277,35.33894,2003,Ramallah,Binyamin,Outpost,Shvut Rachel
Kochav Ya'akov East,כוכב יעקב מזרח,269.0,Outpost,31.877467,35.251408,2003,Jerusalem,Binyamin,Outpost,Kochav Ya'akov
Mishpatei Aretz Inst.,מכון משפטי ארץ,279.0,Outpost,31.940002,35.25202,2004,Ramallah,Binyamin,Outpost,Ofra
Ofra North East,עפרה צפון מזרח,308.0,Outpost,31.957865,35.267496,2004,Ramallah,Binyamin,Outpost,Ofra
Bnei Adam,בני אדם,232.0,Outpost,31.843877,35.301353,2004,Jerusalem,Binyamin,Outpost,Geva Binyamin (aka Adam)
Omer Farm - Einot Kedem,חוות עומר - עינות קדם,264.0,Outpost,31.927241,35.427913,2005,Jericho,Jordan Valley,Outpost,Yitav
Maoz Ester,מעוז אסתר,336.0,Outpost,31.967354,35.344146,2008,Ramallah,Binyamin,Outpost,kochav Hashahar
Or HaOrot Hill 825,אור האורות גבעה 825,1210.0,Outpost,32.165843,35.342321,2008,Nablus,Shomron,Outpost,Itamar
Eretz Hamirdafim,ח'אן ארץ המרדפים,1070.0,Outpost,31.820129,35.355708,2012,Ramallah,Binyamin,Outpost,Kfar Adumim
Kashuela Farm,חוות קשואלה,1066.0,Outpost,31.675193,35.101451,2012,Bethlehem,Gush Etzion,Farm Outpost,Gvaot
Nahalat Yossef,נחלת יוסף,340.0,Outpost,32.225657,35.348488,2012,Nablus,Shomron,Outpost,Elon Moreh
Zufim North,צופים צפון,356.0,Outpost,32.202688,35.012652,2012,Qalqiliya,Shomron,Outpost,Zufim
Tene Yarok Farm,חוות טנא ירוק דידי עמוסי,1155.0,Outpost,32.336535,35.515614,2012,,Jordan Valley,Farm Outpost,Rotem
Itamar 573,איתמר 573,327.0,Outpost,32.144388,35.373459,2013,Nablus,Shomron,Farm Outpost,Itamar
Arugot Farm,חוות ערוגות - מעלה עמוס מערב,1064.0,Outpost,31.599757,35.215873,2013,Bethlehem,Gush Etzion,Outpost,Maale Amos
Mitzpe Yair Farm,שפת המדבר - חוות מצפה יאיר (נתי שבו),1156.0,Outpost,31.384419,35.139071,2013,,Har Hebron,Farm Outpost,Mitzpe Yair
Hashkedim Farm,חוות השקדים אלון מורה,1117.0,Outpost,32.224975,35.33318,2014,Nablus,Shomron,Farm Outpost,Elon Moreh
Kumi Uri,קומי אורי,1172.0,Outpost,32.157813,35.236804,2014,Nablus,,Outpost,Yizhar
Oz Vegaon,עוז וגאון,1089.0,Outpost,31.641507,35.13356,2014,Bethlehem,Gush Etzion,Outpost,Migdal Oz
keidar South,קדר דרום - קדר הישנה,347.0,Outpost,31.746074,35.301578,2014,,Gush Etzion,Outpost,Keidar
