metric,pre_oct7_monthly_rate,post_oct7_monthly_rate,ratio_post_vs_pre
Demolicions (habitatges),18.4,47.6,2.58
Víctimes mortals,0.3,1.13,3.77
Nous outposts,0.56,8.0,14.34
